"campionato","campionato_slug","girone","girone_slug","sesso","livello_competizione",,"giornata","gara","data","ora","data_testo","squadra_casa","set_casa","set_ospite","squadra_ospite","risultato","parziali","arbitro","impianto","header_giornata"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,1,"Gara 1",2025-10-18,06:30:00 PM,"Sab 18/10/2025 18.30","Max Factory - Migliarino Volley",3,0,"Unimech Volley Sei Rose","3-0","25/20 25/23 25/22","I Arbitro: Ago Klevis","PALESTRA S.M. GIACOMO LEOPARDI - VIA DEL CAPANNONE 19 LOC NODICA VECCHIANO - VECCHIANO","Prima Divisione Femminile - Girone A / Giornata 1"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,1,"Gara 2",2025-10-19,05:30:00 PM,"Dom 19/10/2025 17.30","Volley Peccioli Senior",3,2,"Polisportiva Monteserra","3-2","25/17 25/17 17/25 23/25 15/10","I Arbitro: Meini Luca","PALESTRA SCUOLA MEDIA - VIA SABATINI, 3 - PECCIOLI","Prima Divisione Femminile - Girone A / Giornata 1"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,1,"Gara 3",2025-10-18,09:00:00 PM,"Sab 18/10/2025 21.00","Ies Mv Tomei Livorno",3,1,"Conad - Volley Project U16","3-1","25/22 12/25 25/18 25/20","I Arbitro: Rossano Domenico","PALESTRA COMANDO VVF - VIA CAMPANIA 25 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 1"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,1,"Gara 4",2025-10-16,09:00:00 PM,"Gio 16/10/2025 21.00","New Volley 2019",0,3,"Polisportiva Saline","0-3","18/25 12/25 15/25","I Arbitro: Tartaglione Domenico","PALASPORT VIA MONTALE - VENTURINA TERME - Via Montale 1 - VENTURINA TERME - CAMPIGLIA MARITTIMA","Prima Divisione Femminile - Girone A / Giornata 1"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,1,"Gara 5",2025-10-23,09:15:00 PM,"Gio 23/10/2025 21.15","Volley Ponsacco",1,3,"Folgore San Miniato","1-3","25/19 25/27 22/25 20/25","I Arbitro: Rossano Domenico","PALESTRA POLIVALENTE - VIA MELEGNANO - PONSACCO","Prima Divisione Femminile - Girone A / Giornata 1"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,1,"Gara 6",2025-10-18,09:00:00 PM,"Sab 18/10/2025 21.00","Polisportiva Vicarello",2,3,"Bellaria Cappuccini Volley 1d Verde","2-3","20/25 25/18 16/25 26/24 14/16","I Arbitro: Piro Samuel","PALESTRA COMUNALE B. VERENINI - PIAZZA DON MILANI, 5 - COLLESALVETTI","Prima Divisione Femminile - Girone A / Giornata 1"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,2,"Gara 7",2025-10-25,06:30:00 PM,"Sab 25/10/2025 18.30","Unimech Volley Sei Rose",3,1,"Volley Ponsacco","3-1","18/25 26/24 26/24 25/21","I Arbitro: Piro Samuel","PALAZZETTO DELLO SPORT G. BALESTRI ROSIGNANO - VIA PISACANE, rosigNANO SOLVAY - ROSIGNANO MARITTIMO","Prima Divisione Femminile - Girone A / Giornata 2"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,2,"Gara 8",2025-10-23,09:30:00 PM,"Gio 23/10/2025 21.30","Polisportiva Monteserra",1,3,"New Volley 2019","1-3","25/14 25/27 17/25 16/25","I Arbitro: Petrucci Mattia","PALASPORT MONTESERRA - Via Eroi dello Spazio - BUTI","Prima Divisione Femminile - Girone A / Giornata 2"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,2,"Gara 9",2025-10-25,06:30:00 PM,"Sab 25/10/2025 18.30","Bellaria Cappuccini Volley 1d Verde",0,3,"Max Factory - Migliarino Volley","0-3","16/25 22/25 13/25","I Arbitro: Paoli Franco","TENSOSTRUTTURA BELLARIA 2023 - VIALE EUROPA PONTEDERA - PONTEDERA","Prima Divisione Femminile - Girone A / Giornata 2"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,2,"Gara 10",2025-10-25,06:00:00 PM,"Sab 25/10/2025 18.00","Folgore San Miniato",3,0,"Ies Mv Tomei Livorno","3-0","25/15 25/18 25/14","I Arbitro: D'amico Annalisa","PALESTRA DON VINICIO VIVALDI - piazza don vinicio vivaldi - SAN MINIATO","Prima Divisione Femminile - Girone A / Giornata 2"
